Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	SB_4_64_SH_AYa2022_R1.raw	SB_4_64_SH_AYa2022_R2.raw	SB_4_64_SH_AYa2022_R3.raw	SB_4_64_SH_WT_R1.raw	SB_4_64_SH_WT_R2.raw	SB_4_64_SH_WT_R3.raw	SB_4_64_SH_AY_R1.raw	SB_4_64_SH_AY_R2.raw	SB_4_64_SH_AY_R3.raw	SB_4_64_SH_AYa18_R1.raw	SB_4_64_SH_AYa18_R2.raw	SB_4_64_SH_AYa18_R3.raw
P40433	6P21_YEAST	PFK26		5	5	893060.0	1236460.0	1041900.0	828149.0	959955.0	1040060.0	1682480.0	1148610.0	739390.0	1073500.0	1359000.0	
P40438	VTH1_YEAST	VTH1		5	0	819554.0	637755.0	187719.0		317107.0		1037530.0	436016.0	58395.5	491210.0	678928.0	62402.6
P40449	YIQ1_YEAST	YIL161W		2	2	332696.0					374629.0	556336.0		691003.0	373800.0	485457.0	
P40452	COA1_YEAST	COA1		11	11	198847000.0	205536000.0	236449000.0	231967000.0	213009000.0	224779000.0	232636000.0	288272000.0	196141000.0	167609000.0	227647000.0	165839000.0
P40453	UBP7_YEAST	UBP7		8	8	823129.0	416088.0	780830.0	1072470.0	598821.0	420866.0	980428.0	926020.0	723708.0	1049450.0	699032.0	373825.0
P40457	MLP2_YEAST	MLP2		10	10	558595.0	1170160.0	985894.0	1400580.0	1157490.0	343044.0	1550900.0	1130430.0	604729.0	849498.0	977617.0	238059.0
P40458	ATG32_YEAST	ATG32		4	4	721169.0	1160340.0	1093840.0	1902540.0	2735480.0	2809010.0	1654620.0	1485090.0	1545870.0	973792.0	1041160.0	1282050.0
P40462	TM108_YEAST	TMA108		10	10	2428840.0	1767420.0	783516.0	2136550.0	1119520.0	999323.0	3962530.0	1230080.0	627672.0	3576390.0	1645420.0	589519.0
P40463	VHS2_YEAST	VHS2		4	4	10827900.0	6042040.0	1859360.0	8713140.0	4686180.0		18216500.0	6644000.0	2350880.0	12869200.0	7496300.0	
P40464	FLX1_YEAST	FLX1		7	7	5131560.0	7119480.0	7398590.0	5708350.0	4697600.0	4899370.0	5345190.0	8154490.0	6636940.0	5577080.0	5930260.0	6376480.0
P40467	ASG1_YEAST	ASG1		9	9	2569100.0	2348480.0	1177370.0	6945970.0	3145930.0	799856.0	3650660.0	1924810.0	960372.0	6824060.0	1261190.0	1317060.0
P40468	TAO3_YEAST	TAO3		21	21	3763170.0	2793540.0	2330360.0	3677320.0	2779400.0	1010200.0	5274610.0	2000010.0	1956790.0	4446920.0	3466730.0	2637000.0
P40471	AYR1_YEAST	AYR1		26	26	13148600000.0	9404130000.0	9711490000.0	756811000.0	399486000.0	222709000.0	16090100000.0	14292600000.0	4942350000.0	12436700000.0	14497600000.0	4277030000.0
P40472	SIM1_YEAST	SIM1		3	2	50292800.0	25746300.0	22738200.0	30738300.0	11450100.0	5019320.0	49178600.0	24885600.0	11185800.0	36375400.0	43427800.0	4049630.0
P40474	QDR2_YEAST	QDR2		4	4	8937460.0	5498870.0	2161960.0	9489550.0	4616850.0	850765.0	13328500.0	5082160.0	1773600.0	9094330.0	7492880.0	1868500.0
P40477	NU159_YEAST	NUP159		32	32	22286100.0	25283100.0	9720530.0	32438200.0	14462900.0	3449220.0	24574600.0	15565600.0	5286670.0	18776600.0	23293500.0	8741180.0
P40478	VDAC2_YEAST	POR2		13	13	4763120.0	9021670.0	6624850.0	5232210.0	5818270.0	4927970.0	6596700.0	19741300.0	6000660.0	5961730.0	18064700.0	7710660.0
P40480	HOS4_YEAST	HOS4		3	3	1575920.0	1928320.0	1429250.0	2039650.0	1674310.0		2832430.0	2234290.0	1358600.0	2360560.0	3310420.0	1340340.0
P40482	SEC24_YEAST	SEC24		30	29	65492500.0	18800000.0	8205770.0	67243800.0	28065300.0	7512630.0	63840700.0	12383800.0	5842010.0	56153900.0	17116700.0	4633880.0
P40483	YIK8_YEAST	YIL108W		32	32	106781000.0	94991500.0	43918100.0	136033000.0	116574000.0	23154600.0	161208000.0	103911000.0	39451100.0	125150000.0	114542000.0	38024900.0
P40484	MOB1_YEAST	MOB1		5	5	10163800.0	10265600.0	6596630.0	11116300.0	6946980.0	2590890.0	12244200.0	11296600.0	6714600.0	11096200.0	13416900.0	5478060.0
P40485	SLM1_YEAST	SLM1		20	19	50147000.0	47226000.0	22315800.0	50363500.0	46140500.0	13074800.0	60346700.0	56903100.0	21813900.0	49539800.0	71669000.0	38382500.0
P40487	DPH1_YEAST	DPH1		1	1												335836.0
P40491	FMC1_YEAST	FMC1		13	13	670345000.0	665732000.0	574644000.0	758282000.0	623886000.0	501394000.0	707610000.0	642305000.0	630923000.0	722157000.0	774282000.0	645637000.0
